,Media Sources,Tweet Polarity,Positive,Negative,Neutral,Tweets Ago,Date
183,@CBS,0.3067,0.188,0.0,0.812,84,Tue Mar 27 02:11:40 +0000 2018
184,@CBS,0.5562,0.183,0.0,0.817,85,Tue Mar 27 02:11:39 +0000 2018
185,@CBS,0.4019,0.162,0.0,0.838,86,Tue Mar 27 02:11:38 +0000 2018
186,@CBS,0.0,0.0,0.0,1.0,87,Tue Mar 27 02:11:32 +0000 2018
187,@CBS,0.2577,0.097,0.0,0.903,88,Tue Mar 27 02:11:32 +0000 2018
188,@CBS,0.2577,0.097,0.0,0.903,89,Tue Mar 27 02:11:26 +0000 2018
189,@CBS,0.6059,0.191,0.0,0.809,90,Tue Mar 27 02:11:04 +0000 2018
190,@CBS,0.5267,0.173,0.0,0.827,91,Tue Mar 27 02:11:03 +0000 2018
191,@CBS,0.0,0.0,0.0,1.0,92,Tue Mar 27 02:11:03 +0000 2018
192,@CBS,0.0,0.0,0.0,1.0,93,Tue Mar 27 02:10:50 +0000 2018
193,@CBS,0.2577,0.097,0.0,0.903,94,Tue Mar 27 02:10:46 +0000 2018
194,@CBS,0.0,0.0,0.0,1.0,95,Tue Mar 27 02:10:39 +0000 2018
195,@CBS,-0.296,0.0,0.145,0.855,96,Tue Mar 27 02:10:25 +0000 2018
196,@CBS,0.0,0.0,0.0,1.0,97,Tue Mar 27 02:10:21 +0000 2018
197,@CBS,0.8588,0.345,0.0,0.655,98,Tue Mar 27 02:10:03 +0000 2018
198,@CBS,-0.1027,0.094,0.114,0.792,99,Tue Mar 27 02:09:56 +0000 2018
199,@CBS,0.0258,0.105,0.101,0.794,100,Tue Mar 27 02:09:56 +0000 2018
200,@CNN,-0.553,0.063,0.177,0.76,1,Tue Mar 27 02:26:49 +0000 2018
201,@CNN,-0.7308,0.084,0.288,0.628,2,Tue Mar 27 02:26:49 +0000 2018
202,@CNN,-0.3404,0.059,0.123,0.818,3,Tue Mar 27 02:26:47 +0000 2018
203,@CNN,-0.4926,0.0,0.122,0.878,4,Tue Mar 27 02:26:46 +0000 2018
204,@CNN,0.1531,0.118,0.0,0.882,5,Tue Mar 27 02:26:46 +0000 2018
205,@CNN,0.0,0.0,0.0,1.0,6,Tue Mar 27 02:26:46 +0000 2018
206,@CNN,0.4767,0.205,0.0,0.795,7,Tue Mar 27 02:26:45 +0000 2018
207,@CNN,0.0,0.0,0.0,1.0,8,Tue Mar 27 02:26:43 +0000 2018
208,@CNN,-0.2263,0.0,0.087,0.913,9,Tue Mar 27 02:26:43 +0000 2018
209,@CNN,0.7184,0.222,0.0,0.778,10,Tue Mar 27 02:26:41 +0000 2018
210,@CNN,0.6571,0.212,0.0,0.788,11,Tue Mar 27 02:26:41 +0000 2018
211,@CNN,0.0,0.0,0.0,1.0,12,Tue Mar 27 02:26:41 +0000 2018
212,@CNN,0.5093,0.268,0.0,0.732,13,Tue Mar 27 02:26:40 +0000 2018
213,@CNN,0.0,0.0,0.0,1.0,14,Tue Mar 27 02:26:39 +0000 2018
214,@CNN,-0.126,0.113,0.134,0.753,15,Tue Mar 27 02:26:39 +0000 2018
215,@CNN,0.5574,0.126,0.0,0.874,16,Tue Mar 27 02:26:36 +0000 2018
216,@CNN,-0.4767,0.0,0.129,0.871,17,Tue Mar 27 02:26:36 +0000 2018
217,@CNN,-0.2006,0.075,0.104,0.821,18,Tue Mar 27 02:26:36 +0000 2018
218,@CNN,0.0,0.0,0.0,1.0,19,Tue Mar 27 02:26:36 +0000 2018
219,@CNN,0.2577,0.097,0.0,0.903,20,Tue Mar 27 02:26:36 +0000 2018
220,@CNN,0.4389,0.308,0.131,0.561,21,Tue Mar 27 02:26:35 +0000 2018
221,@CNN,0.0,0.0,0.0,1.0,22,Tue Mar 27 02:26:35 +0000 2018
222,@CNN,0.5574,0.126,0.0,0.874,23,Tue Mar 27 02:26:35 +0000 2018
223,@CNN,-0.1779,0.217,0.24,0.543,24,Tue Mar 27 02:26:34 +0000 2018
224,@CNN,0.0,0.0,0.0,1.0,25,Tue Mar 27 02:26:34 +0000 2018
225,@CNN,0.4754,0.154,0.0,0.846,26,Tue Mar 27 02:26:33 +0000 2018
226,@CNN,0.3818,0.12,0.0,0.88,27,Tue Mar 27 02:26:33 +0000 2018
227,@CNN,-0.4767,0.0,0.608,0.392,28,Tue Mar 27 02:26:32 +0000 2018
228,@CNN,0.0,0.0,0.0,1.0,29,Tue Mar 27 02:26:32 +0000 2018
229,@CNN,0.0,0.0,0.0,1.0,30,Tue Mar 27 02:26:32 +0000 2018
230,@CNN,0.3612,0.128,0.0,0.872,31,Tue Mar 27 02:26:31 +0000 2018
231,@CNN,0.0,0.0,0.0,1.0,32,Tue Mar 27 02:26:31 +0000 2018
232,@CNN,0.0,0.0,0.0,1.0,33,Tue Mar 27 02:26:30 +0000 2018
233,@CNN,0.0,0.0,0.0,1.0,34,Tue Mar 27 02:26:27 +0000 2018
234,@CNN,-0.25,0.103,0.143,0.754,35,Tue Mar 27 02:26:27 +0000 2018
235,@CNN,0.0,0.0,0.0,1.0,36,Tue Mar 27 02:26:27 +0000 2018
236,@CNN,0.0,0.0,0.0,1.0,37,Tue Mar 27 02:26:26 +0000 2018
237,@CNN,0.2577,0.097,0.0,0.903,38,Tue Mar 27 02:26:25 +0000 2018
238,@CNN,0.0,0.0,0.0,1.0,39,Tue Mar 27 02:26:25 +0000 2018
239,@CNN,-0.25,0.0,0.133,0.867,40,Tue Mar 27 02:26:25 +0000 2018
240,@CNN,-0.34,0.0,0.167,0.833,41,Tue Mar 27 02:26:25 +0000 2018
241,@CNN,-0.6808,0.0,0.211,0.789,42,Tue Mar 27 02:26:24 +0000 2018
242,@CNN,-0.4767,0.0,0.129,0.871,43,Tue Mar 27 02:26:24 +0000 2018
